scope,rows,ppt_non_null,ppt_missing,mean,std_dev,variance,min,max,unique_scores
fintech_evaluation_output_20260419_110045 - Scores.csv,97,97,0,19.175257731958762,1.145737656111687,1.3127147766323024,16.0,20.0,5
healthcare_evaluation_output_20260419_132600 - Scores.csv,260,258,2,18.399224806201552,1.7352825771087768,3.011205622417278,12.0,20.0,8
logistics_evaluation_output_20260419_133040 - Scores.csv,144,140,4,19.05,1.4158659043118478,2.004676258992806,12.0,20.0,8
COMBINED,501,495,6,18.735353535353536,1.5845479266480906,2.510792131844763,12.0,20.0,8
