scope,subscore_out_of_range,ppt_total_out_of_range
fintech_evaluation_output_20260419_110045 - Scores.csv,0,0
healthcare_evaluation_output_20260419_132600 - Scores.csv,0,0
logistics_evaluation_output_20260419_133040 - Scores.csv,0,0
COMBINED,0,0
