scope,n,pearson_r,p_value
fintech_evaluation_output_20260419_110045 - Scores.csv,97,-0.07960268317949544,0.4383023666492099
healthcare_evaluation_output_20260419_132600 - Scores.csv,258,-0.022406531635459567,0.7201939795594801
logistics_evaluation_output_20260419_133040 - Scores.csv,140,0.1762637631439164,0.03723094426474954
COMBINED,495,0.035864694911422995,0.4259286346415108
